model_type        , lang, avg_length
ppo               , ru  ,     1661.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
ppo_150426        , ru  ,     1524.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
